"","HHSIZE","URBAN","[0-4]","(4,17]","(17,49]","(49,64]","(64,100]"
"30002567",1,1,0,0,0,0,1
"30002586",4,1,1,1,2,0,0
"30002590",2,1,0,0,0,2,0
"30002609",3,2,1,0,2,0,0
"30002616",2,4,0,0,0,0,2
"30002618",1,1,0,0,0,1,0
"30002639",4,4,1,0,2,1,0
"30002642",1,1,0,0,0,0,1
"30002645",1,1,0,0,0,0,1
"30002661",2,4,0,1,0,0,1
"30002666",1,2,0,0,0,0,1
"30002700",5,1,1,2,2,0,0
"30002708",3,4,0,1,0,2,0
"30002721",1,1,0,0,1,0,0
"30002738",3,1,0,0,1,1,1
"30002740",1,2,0,0,0,0,1
"30002756",2,1,0,0,0,2,0
"30002762",3,1,0,0,3,0,0
"30002826",2,4,0,0,0,0,2
"30002828",4,4,1,1,2,0,0
"30002834",1,1,0,0,0,0,1
"30002835",2,1,0,0,0,2,0
"30002837",1,4,0,0,1,0,0
"30002845",2,4,0,0,0,1,1
"30002860",1,1,0,0,0,1,0
"30002863",3,1,0,1,2,0,0
"30002869",2,1,0,0,0,0,2
"30002883",3,1,0,0,1,0,2
"30002892",4,1,1,1,2,0,0
"30002899",2,4,0,0,1,0,1
"30002928",1,1,0,0,0,0,1
"30002929",1,4,0,0,0,0,1
"30002931",2,1,0,0,0,2,0
"30002933",1,1,0,0,1,0,0
"30002934",1,1,0,0,0,1,0
"30002945",4,1,2,0,2,0,0
"30002949",2,1,0,0,0,2,0
"30002975",1,1,0,0,1,0,0
"30002989",2,4,0,0,0,0,2
"30002991",1,1,0,0,0,0,1
"30003003",3,1,1,0,2,0,0
"30003033",2,4,0,0,0,0,2
"30003034",3,1,0,0,2,1,0
"30003039",2,1,0,0,0,0,2
"30003043",5,2,1,2,2,0,0
"30003044",2,1,0,0,0,0,2
"30003049",1,1,0,0,0,0,1
"30003057",2,1,0,0,0,2,0
"30003059",5,1,3,0,2,0,0
"30003069",2,4,0,0,0,0,2
"30003073",4,1,0,2,2,0,0
"30003105",2,1,0,0,0,2,0
"30003120",1,1,0,0,0,0,1
"30003125",1,1,0,0,0,0,1
"30003127",1,1,0,0,0,0,1
"30003131",1,1,0,0,0,0,1
"30003133",1,2,0,0,0,0,1
"30003145",2,4,0,0,0,1,1
"30003151",1,4,0,0,0,0,1
"30003153",3,1,0,1,1,1,0
"30003158",2,4,0,0,1,1,0
"30003171",2,2,0,0,0,2,0
"30003188",1,1,0,0,1,0,0
"30003209",2,1,0,0,2,0,0
"30003215",1,1,0,0,1,0,0
"30003232",9,1,1,6,2,0,0
"30003247",2,1,0,0,2,0,0
"30003254",2,1,0,0,2,0,0
"30003261",2,1,0,0,0,0,2
"30003267",2,1,0,0,0,2,0
"30003274",1,1,0,0,0,0,1
"30003284",3,1,0,1,2,0,0
"30003297",1,1,0,0,0,0,1
"30003306",4,1,2,0,2,0,0
"30003312",4,1,1,1,2,0,0
"30003314",4,4,0,2,2,0,0
"30003329",4,2,0,1,3,0,0
"30003349",2,4,0,0,0,0,2
"30003350",2,4,0,0,0,2,0
"30003365",4,1,0,2,2,0,0
"30003372",2,1,0,0,0,0,2
"30003382",1,1,0,0,0,1,0
"30003385",3,1,0,0,1,2,0
"30003393",3,1,0,0,1,2,0
"30003402",2,1,0,0,0,0,2
"30003410",1,2,0,0,0,1,0
"30003412",5,1,2,1,2,0,0
"30003425",2,2,0,0,0,0,2
"30003437",1,4,0,0,0,0,1
"30003444",2,4,0,0,2,0,0
"30003445",1,1,0,0,0,1,0
"30003457",1,2,0,0,0,1,0
"30003462",2,4,0,0,0,2,0
"30003463",2,2,0,0,1,1,0
"30003489",1,4,0,0,1,0,0
"30003499",2,4,0,0,0,1,1
"30003515",2,1,0,0,0,0,2
"30003523",1,4,0,0,0,0,1
"30003527",2,4,0,0,0,2,0
"30003531",2,4,0,0,1,1,0
"30003557",1,1,0,0,0,1,0
"30003562",3,1,0,0,2,1,0
"30003573",6,2,0,3,3,0,0
"30003574",2,1,0,0,0,2,0
"30003577",2,1,0,0,0,1,1
"30003594",2,1,0,0,0,2,0
"30003607",1,1,0,0,0,0,1
"30003624",2,1,0,0,2,0,0
"30003630",2,1,0,0,2,0,0
"30003631",1,2,0,0,0,1,0
"30003650",1,1,0,0,0,1,0
"30003653",2,1,0,0,0,2,0
"30003660",4,1,0,2,2,0,0
"30003663",2,1,0,0,0,1,1
"30003671",2,1,0,0,0,0,2
"30003672",2,1,0,0,0,0,2
"30003675",2,1,0,0,0,0,2
"30003676",1,4,0,0,0,0,1
"30003680",3,4,0,1,2,0,0
"30003703",2,1,0,0,0,0,2
"30003718",2,1,0,0,0,1,1
"30003725",2,1,0,0,0,0,2
"30003731",4,1,0,2,2,0,0
"30003745",1,2,0,0,0,0,1
"30003754",2,1,0,0,2,0,0
"30003761",4,2,0,2,2,0,0
"30003763",1,1,0,0,0,0,1
"30003770",10,1,3,5,2,0,0
"30003777",2,4,0,0,0,1,1
"30003786",1,4,0,0,0,0,1
"30003792",2,1,0,0,0,0,2
"30003798",4,1,0,2,1,1,0
"30003810",1,1,0,0,1,0,0
"30003815",4,1,0,2,2,0,0
"30003823",2,4,0,0,1,1,0
